Date,Open,High,Low,Close,Volume
12/06/2022,"25.41","25.58","23.11","23.39","7,699,321"
12/05/2022,"27.31","27.48","25.44","25.56","4,973,747"
12/02/2022,"26.25","27.87","26.11","27.52","4,577,177"
12/01/2022,"26.00","27.50","25.18","26.60","7,615,154"
11/30/2022,"25.90","26.23","24.91","26.21","3,731,072"
11/29/2022,"25.58","26.35","25.32","25.60","2,029,480"
11/28/2022,"25.79","26.44","25.21","25.29","2,453,744"
11/25/2022,"26.50","27.05","26.14","26.17","1,122,700"
11/23/2022,"25.92","27.14","25.92","26.70","2,737,491"
11/22/2022,"25.13","26.45","24.70","26.30","4,240,402"
11/21/2022,"26.66","27.83","24.86","25.16","4,443,252"
11/18/2022,"28.16","28.70","26.83","27.60","3,087,420"
11/17/2022,"26.30","27.76","26.15","27.76","2,477,693"
11/16/2022,"26.62","27.35","26.37","27.14","2,452,335"
11/15/2022,"26.59","28.24","26.27","27.59","5,391,975"
11/14/2022,"26.30","27.38","25.61","26.05","4,350,537"
11/11/2022,"24.78","26.12","24.15","26.10","3,986,182"
11/10/2022,"24.62","25.70","23.91","24.88","6,106,952"
11/09/2022,"24.55","24.67","21.89","23.11","8,464,777"
11/08/2022,"25.33","25.85","24.11","25.14","4,695,117"
11/07/2022,"26.25","26.30","24.80","25.76","3,303,627"
